X,Y,objectid,provincia,municipio,localidad,código_postal,dirección2,margen,longitud,latitud,precio_gasolina_95,precio_gasóleo_a,precio_gasóleo_b,precio_bioetanol,precio_nuevo_gasóleo_a,precio_biodiesel,f__éster_metílico,f__bioalcohol,precio_gasolina_98,precio_gas_natural_comprimido,precio_gas_natural_licuado,precio_gases_licuados_del_petr,rótulo,tipo_venta,rem_,horario,horario00,z,fecha,dirección
,,8027943,ÁLAVA,ALEGRÍA-DULANTZI,ALEGRIA-DULANTZI,01240,,D,-2.509361,42.846028,,1.259,0.726,,,,,,,,,,"PREMIRA ENERGIA NORTE, S.L.",P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CL MANISITU, 9"
,,8027944,ÁLAVA,ALEGRÍA-DULANTZI,ALEGRIA-DULANTZI,01240,,D,-2.519194,42.842917,1.349,1.279,,,,,,,,,,,ES DULANTZI REPSOL,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE GASTEIZBIDEA, 59"
,,8027945,ÁLAVA,AMURRIO,LARRINBE,01468,,D,-2.989111,43.044333,1.289,1.209,,,1.279,,,,1.389,,,,ESTACIONES GB,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"POLIGONO ZANKUETA, 0"
,,8027946,ÁLAVA,AMURRIO,LEZAMA,01450,,D,-2.967611,43.031889,1.349,1.279,,,1.339,,,,1.464,,,,CEPSA,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,"CARRETERA A-624 KM. 37,8"
,,8027947,ÁLAVA,ARRAIA-MAEZTU,MAEZTU/MAESTU,01120,,I,-2.477917,42.753194,1.25,1.145,,,,,,,1.315,,,,(SIN RÓTULO),P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2019-12-10T00:00:00.000Z,CARRETERA A-132 VITORIA-ESTELLA KM. 23
,,8027948,ÁLAVA,ARRAZUA-UBARRUNDIA,LUKO,01510,,D,-2.639528,42.941417,1.344,1.279,,,1.349,,,,1.459,,,,CEPSA,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,"N-240-B km 11,8"
,,8027949,ÁLAVA,ARRAZUA-UBARRUNDIA,ZURBANO,01520,,N,-2.616361,42.876861,1.355,1.279,,,1.349,1.349,,,1.479,,,,AVIA,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,AUTOVIA N-1 km 358
,,8027950,ÁLAVA,ARTZINIEGA,ARTZINIEGA,01474,,D,-3.122528,43.123361,1.335,1.255,0.915,,1.305,,,,1.465,,,,AVIA ,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"AVENIDA DE GARAY, 23 (CARRETERA DE VITORIA A BALMASE km 56)"
,,8027951,ÁLAVA,ASPARRENA,ARAIA,01250,,D,-2.312056,42.870861,,1.287,,,,,,,,,,,ADS,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE DEIDA, 6"
,,8027952,ÁLAVA,ASPARRENA,ILARDUIA,01260,,I,-2.278694,42.866417,1.309,1.239,,,1.299,,,,,,,,CEPSA,P,OM,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"N-IA km 385,1"
,,8027953,ÁLAVA,CAMPEZO/KANPEZU,SANTA CRUZ CAMPEZO,01110,,I,-2.357278,42.670222,1.309,1.199,0.9,,1.349,,,,,,,,PETRONOR,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00,,2019-12-10T00:00:00.000Z,"CR A-132  VITORIA-ESTELLA, 38,1"
,,8027954,ÁLAVA,ELBURGO/BURGELU,ELBURGO/BURGELU,01192,,D,-2.518167,42.878556,1.399,1.289,0.934,,1.359,,,,1.523,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,"CARRETERA N-1 KM. 364,4"
,,8027955,ÁLAVA,IRUÑA OKA/IRUÑA DE OCA,NANCLARES DE LA OCA,01230,,D,-2.77225,42.823778,1.229,1.148,,,,,,,,,,,EUROCAM,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE TRATADO DE PARIS, 6"
,,8027956,ÁLAVA,IRUÑA OKA/IRUÑA DE OCA,NANCLARES DE LA OCA,01230,,D,-2.77475,42.82525,,1.14,0.857,,,,,,,,,,PETRONIEVES,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE TRATADO DE MAASTRICH, 1"
,,8027957,ÁLAVA,IRUÑA OKA/IRUÑA DE OCA,NANCLARES DE LA OCA,01230,,D,-2.770694,42.824389,,,,,,,,,,0.939,0.858,,NATURGY,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE A-1 KM 342. POL. IND. SUBILLABIDE (SUVILLAVIDE BIDEA), 2"
,,8027958,ÁLAVA,LABASTIDA,SALINILLAS DE BURADON,01212,,I,-2.849833,42.635194,1.339,1.265,0.934,,1.315,,,,1.439,,,,REPSOL,P,OM,L-V: 07:00-21:45; S-D: 08:00-21:45,L-V: 07:00-21:45; S-D: 08:00-21:45,,2019-12-10T00:00:00.000Z,CARRETERA N-124 KM. 35
,,8027959,ÁLAVA,LAGUARDIA,LAGUARDIA,01300,,I,-2.578806,42.547639,1.349,1.259,1.004,,1.339,,,,,,,,REPSOL,P,OM,L-V: 07:00-21:45; S-D: 08:00-21:45,L-V: 07:00-21:45; S-D: 08:00-21:45,,2019-12-10T00:00:00.000Z,CARRETERA A-124 KM. 65
,,8027960,ÁLAVA,LANTARÓN,PUENTELARRÁ/LARRAZUBI,01423,,I,-3.04575,42.755583,1.26,1.15,,,,,,,,,,,AVIA,P,dm,L-D: 07:00-21:00,L-D: 07:00-21:00,,2019-12-10T00:00:00.000Z,CARRETERA A-2122 KM. 11
,,8027961,ÁLAVA,LLODIO,LAUDIO/LLODIO,01400,,D,-2.951361,43.148639,1.345,1.285,,,1.365,,,,1.485,,,,PETRONOR,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,"CL ARETA, 2"
,,8027962,ÁLAVA,LLODIO,LAUDIO/LLODIO,01400,,I,-2.968,43.138,1.275,1.215,,,1.295,,,,1.415,,,,EROSKI,P,dm,L-S: 07:30-21:30,L-S: 07:30-21:30,,2019-12-10T00:00:00.000Z,"AVENIDA ZUMALACARREGUI (C.C. EROSKI), S/N"
,,8027963,ÁLAVA,OYÓN/OION,OYON-OION,01320,,D,-2.432278,42.490611,1.349,1.259,0.999,,,,,,1.459,,,,E.S. OION,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2019-12-10T00:00:00.000Z,CARRETERA LOGROÑO KM. 10
,,8027964,ÁLAVA,RIBERA ALTA,POBES,01420,,N,-2.901944,42.81125,1.338,1.238,0.815,,,,,,,,,,E.S. TOCALU S.L.,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00,,2019-12-10T00:00:00.000Z,"ACCESO A2622, 0"
,,8027965,ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,IGAY,01213,,I,-2.913222,42.741361,1.399,1.299,,,1.379,,,,1.539,,,,PETRONOR,P,OM,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"AU AP-68, 63,5"
,,8027966,ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,IGAY,01213,,D,-2.913306,42.743111,1.399,1.299,,,1.379,,,,1.539,,,,PETRONOR,P,OM,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"AU AP-68, 63  D"
,,8027967,ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,RIBABELLOSA,01213,,N,-2.917639,42.704639,1.26,1.15,,,1.17,,,,1.399,,,,EROSKI,P,dm,L-S: 10:00-22:00,L-S: 10:00-22:00,,2019-12-10T00:00:00.000Z,"POLIGONO SUI 1, (C.C. EROSKI), 1"
,,8027968,ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,RIBABELLOSA,01213,,N,-2.906944,42.710639,1.399,1.309,,,1.389,,,,,,,,SHELL,P,OM,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,CARRETERA N-I KM. 323
,,8027969,ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,RIBABELLOSA,01213,,D,-2.920667,42.692917,1.359,1.269,,,1.329,1.229,,,1.499,,,,EESS DYNEFF,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"AVENIDA ALAVA, 12"
,,8027970,ÁLAVA,SALVATIERRA/AGURAIN,SALVATIERRA O AGURAIN,01200,,D,-2.379083,42.852694,1.289,1.189,0.779,,,,,,,,,,ALAVESA,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE FUEROS S/N, SN"
,,8027971,ÁLAVA,SALVATIERRA/AGURAIN,SALVATIERRA O AGURAIN,01200,,N,-2.394583,42.848944,1.345,1.269,0.904,,1.359,,,,1.469,,,,GALP,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,CARRETERA ANTIGUA NACIONAL I KM. 375
,,8027972,ÁLAVA,SAN MILLÁN/DONEMILIAGA,DURRUMA/SAN ROMAN DE SAN,01207,,D,-2.320361,42.8635,1.381,1.279,1.013,,,,,,1.481,,,,"ANDAMUR ""SAN ROMAN""",P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"POLIGONO OKITURRI, S/N"
,,8027973,ÁLAVA,SAN MILLÁN/DONEMILIAGA,DURRUMA/SAN ROMAN DE SAN,01207,,D,-2.324083,42.863583,1.391,1.309,1.024,,,1.309,,,,,,,IS-XXI,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE POLIGONO OKITURRI, 4"
,,8027974,ÁLAVA,SAN MILLÁN/DONEMILIAGA,DURRUMA/SAN ROMAN DE SAN,01207,,D,-2.314083,42.871167,,1.259,,,,,,,,,,,VALCARCE,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE DEIDA, 4"
,,8027975,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01002,,D,-2.648306,42.849778,1.355,1.279,,,1.349,,,,1.479,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,"CL PORTAL DE ELORRIAGA,17"
,,8027976,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01007,,D,-2.700972,42.837111,1.269,1.179,,,,,,,,,,,ARMENTIA,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE ALTO DE ARMENTIA, 10"
,,8027977,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01007,,N,-2.698917,42.836778,1.339,1.264,,,1.354,,,,1.469,,,,GALP,P,OM,L-D: 06:30-22:30,L-D: 06:30-22:30,,2019-12-10T00:00:00.000Z,"CALLE ALTO DE ARMENTIA, 2"
,,8027978,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01008,,D,-2.682278,42.842833,1.349,1.279,,,1.359,,,,1.489,,,,REPSOL,P,dm,L-S: 06:00-23:00; D: 07:30-23:00,L-S: 06:00-23:00; D: 07:30-23:00,,2019-12-10T00:00:00.000Z,"CL CASTILLA, 30"
,,8027979,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01010,,D,-2.712722,42.863778,1.355,1.279,,,1.349,1.349,,,1.479,,,,AVIA,P,dm,L-D: 06:30-22:30,L-D: 06:30-22:30,,2019-12-10T00:00:00.000Z,"CALLE URARTEA, 23"
,,8027980,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01010,,N,-2.693722,42.849028,1.361,1.297,,,1.367,,,,,,,,CEPSA,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,"AVENIDA MEDITERRANEO, 7"
,,8027981,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01010,,N,-2.716389,42.857194,1.345,1.275,0.84,,1.335,,,,1.475,,,,ONAINDIA,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,"AVENIDA AVDA. DE LOS HUETOS, 56"
,,8027982,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01010,,N,-2.7105,42.864944,1.345,1.275,,,1.335,,,,1.468,,,,AVIA,P,dm,L-V: 07:00-21:30,L-V: 07:00-21:30,,2019-12-10T00:00:00.000Z,"ALIBARRA, 34"
,,8027983,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01010,,D,-2.708611,42.854694,1.269,1.179,,,,,,,,,,,EROSKI,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE BREMEN, 6"
,,8027984,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01010,,D,-2.709972,42.852417,1.344,1.279,,,1.349,,,,1.459,,,,CEPSA,P,OM,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE DUSSELDORF, 1"
,,8027985,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01010,,D,-2.717833,42.857667,1.199,1.099,,,,,,,1.359,,,,GM OIL,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"AVENIDA DE LOS HUETOS, 64"
,,8027986,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01006,,D,-2.657611,42.837083,1.204,1.104,,,,,,,,,,,EUSKADILOWCOST,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE VENTA DE LA ESTRELLA, 5"
,,8027987,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01006,,D,-2.658222,42.836833,1.274,1.209,,,1.279,,,,1.389,,,,CEPSA,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00,,2019-12-10T00:00:00.000Z,"CALLE VENTA DE LA ESTRELLA, 3"
,,8027988,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01006,,N,-2.66,42.836667,1.339,1.279,,,1.359,,,,1.479,,,,REPSOL,P,OM,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE JOSE MARIA IPARRAGUIRRE, 19"
,,8027989,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01006,,D,-2.6645,42.838722,1.339,1.279,,,1.359,,,,1.479,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,"CL TRIANAS, 17"
,,8027990,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,,D,-2.661694,42.859278,1.359,1.279,,,1.349,,,,1.483,,,,PETRONOR,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,"CALLE BETOÑO, 1"
,,8027991,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,,N,-2.653139,42.864694,1.359,1.279,,,1.359,,,,1.499,,,,SHELL,P,OM,L-D: 05:00-23:00,L-D: 05:00-23:00,,2019-12-10T00:00:00.000Z,"CALLE PORTAL DE BERGARA, 2"
,,8027992,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,,N,-2.678833,42.868611,1.345,1.275,,,1.335,,,,1.475,,,,ONAINDIA,P,dm,L-D: 06:00-23:00,L-D: 06:00-23:00,,2019-12-10T00:00:00.000Z,"CALLE PORTAL DE ARRIAGA, 66"
,,8027993,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,,N,-2.656861,42.856194,1.358,1.279,,,1.369,,,,1.501,,,,BP  VITORIA,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE DEBA, 1"
,,8027994,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,,I,-2.661139,42.865278,1.358,1.279,,,1.369,,,,1.501,,,,BP VITORIA-GASTEIZ,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,"CALLE PORTAL DE GAMARRA, 7"
,,8027995,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,,N,-2.672944,42.855,1.344,1.279,,,1.339,,,,1.459,,,,ESASA,P,OM,L: 07:00-23:00,L: 07:00-23:00,,2019-12-10T00:00:00.000Z,"CALLE REYES CATOLICOS, 2"
,,8027996,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,,N,-2.664278,42.860306,1.279,1.189,,,1.229,,,,,,,,EROSKI,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE ZARAMAGA, 1"
,,8027997,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,,D,-2.660222,42.864667,1.359,1.279,,,1.349,,,,1.483,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,"AV AVENIDA DEL CANTABRICO,8 -(PG PO"
,,8027998,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,,I,-2.658583,42.872556,1.239,1.139,,,,,,,,,,,PETROPRIX,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE PORTAL DE GAMARRA, 35"
,,8027999,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01195,,I,-2.721583,42.857472,1.349,1.285,,,1.365,,,,1.489,,,,PETRONOR,P,OM,L-D: 06:00-23:00,L-D: 06:00-23:00,,2019-12-10T00:00:00.000Z,"CL AVENIDA HUETOS, 81"
,,8028000,ÁLAVA,VITORIA-GASTEIZ,ARCAUTE,01192,,D,-2.632167,42.852722,1.355,1.279,,,1.349,,,,1.479,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,CARRETERA N-1 KM. 354
,,8028001,ÁLAVA,VITORIA-GASTEIZ,ABERASTURI,01193,,D,-2.703306,42.860083,,,,,,,,,,0.9,,,EDP,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE VITORIALANDA, 12"
,,8028002,ÁLAVA,VITORIA-GASTEIZ,SUBIJANA DE ALAVA,01195,,D,-2.778694,42.818944,1.399,1.299,,,1.359,,,,1.499,,,,CEPSA ,P,dm,L-V: 06:00-23:00; S: 06:00-22:00; D: 06:00-23:00,L-V: 06:00-23:00; S: 06:00-22:00; D: 06:00-23:00,,2019-12-10T00:00:00.000Z,"CARRETERA NACIONAL 1 KM. 341,8"
,,8028003,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01015,,N,-2.741917,42.845639,1.329,1.219,,,,,,,,,,,AVIA,P,dm,L-S: 06:00-22:30,L-S: 06:00-22:30,,2019-12-10T00:00:00.000Z,"POLIGONO P.I. JUNDIZ - C/ LERMANDABIDE, 8"
,,8028004,ÁLAVA,VITORIA-GASTEIZ,ZUAZO DE VITORIA/ZUHATZU,01195,,I,-2.722278,42.829528,1.319,1.219,,,,,,,,,,,IBAIA ENERGY,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"VIAL CTRA. N102 KM347, N102"
,,8028005,ÁLAVA,VITORIA-GASTEIZ,ARANGUIZ,01196,,D,-2.702278,42.895667,1.355,1.279,,,1.349,,,,1.479,,,,AVIA,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,AUTOVIA VITORIA-ATUBE KM. 6
,,8028006,ÁLAVA,VITORIA-GASTEIZ,LOPIDANA,01196,,I,-2.714472,42.878694,1.399,1.299,1.02,,1.359,,,,1.499,,,,REPSOL,P,OM,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CR N-1, 350,5"
,,8028007,ÁLAVA,VITORIA-GASTEIZ,LOPIDANA,01196,,D,-2.712472,42.877139,1.399,1.299,1.02,,1.359,,,,1.499,,,,REPSOL,P,OM,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CR N-1, 350,5"
,,8028008,ÁLAVA,ZUIA,ALTUBE,01139,,D,-2.873583,42.966472,1.399,1.299,,,1.379,,,,1.539,,,,REPSOL,P,OM,L-D: 06:00-23:00,L-D: 06:00-23:00,,2019-12-10T00:00:00.000Z,"AU AP-68, 36"
,,8028009,ÁLAVA,ZUIA,ALTUBE,01139,,I,-2.870083,42.966111,1.399,1.299,,,1.379,,,,1.539,,,,PETRONOR,P,OM,L-D: 06:00-23:00,L-D: 06:00-23:00,,2019-12-10T00:00:00.000Z,"AU AP-68, 36"
,,8028010,ÁLAVA,ZUIA,MURGIA,01130,,D,-2.827722,42.961583,1.359,1.289,,,1.349,,,,1.474,,,,CEPSA,P,dm,L-V: 06:00-22:00; S: 07:00-22:00; D: 08:00-22:00,L-V: 06:00-22:00; S: 07:00-22:00; D: 08:00-22:00,,2019-12-10T00:00:00.000Z,"N-622 km 20,3"
,,8028011,ALBACETE,ABENGIBRE,ABENGIBRE,02250,,D,-1.539167,39.211417,1.289,1.199,0.789,,,,,,,,,,Nº 10.935,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00,,2019-12-10T00:00:00.000Z,"AVENIDA CASTILLA LA MANCHA, 26"
,,8028012,ALBACETE,ALBACETE,ALBACETE,02001,,N,-1.8685,38.985667,1.279,1.219,,,1.249,,,,1.409,,,,CARREFOUR,P,dm,L-S: 08:00-22:00; D: 09:00-21:00,L-S: 08:00-22:00; D: 09:00-21:00,,2019-12-10T00:00:00.000Z,"AVENIDA 1º DE MAYO, S/N"
,,8028013,ALBACETE,ALBACETE,ALBACETE,02001,,D,-1.849833,39.000861,1.237,1.157,,,,,,,,,,,GHC ,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE FEDERICO GARCIA LORCA, 1"
,,8028014,ALBACETE,ALBACETE,ALBACETE,02001,,I,-1.832,39.054694,1.299,1.249,,,1.339,,,,1.441,,,,BP ROMICA,P,OM,L-D: 06:00-21:30,L-D: 06:00-21:30,,2019-12-10T00:00:00.000Z,"CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5"
,,8028015,ALBACETE,ALBACETE,ALBACETE,02005,,D,-1.854556,38.999722,1.299,1.249,,,1.329,,,,1.409,,,,REPSOL,P,OM,L-J: 06:00-23:00; V-D: 06:00-00:00,L-J: 06:00-23:00; V-D: 06:00-00:00,,2019-12-10T00:00:00.000Z,"CL PASEO DE LA CUBA, 15"
,,8028016,ALBACETE,ALBACETE,ALBACETE,02005,,N,-1.864917,39.003333,1.299,1.239,,,1.299,,,,1.409,,,,TAMOS,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"AVENIDA MENÉNDEZ PIDAL, 58"
,,8028017,ALBACETE,ALBACETE,ALBACETE,02005,,N,-1.859917,39.005083,1.309,1.249,,,1.329,,,,1.419,,,,CEPSA,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"PASEO CUBA (LA), 36"
,,8028018,ALBACETE,ALBACETE,ALBACETE,02002,,D,-1.849028,38.98925,1.309,1.249,,,1.329,,,,1.419,,,,CEPSA,P,dm,L-D: 06:00-00:00,L-D: 06:00-00:00,,2019-12-10T00:00:00.000Z,"CALLE HERMANOS FALCÓ, 2"
,,8028019,ALBACETE,ALBACETE,ALBACETE,02006,,N,-1.869889,38.998222,1.259,1.179,,,1.229,,,,,,,,INPEALSA,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2019-12-10T00:00:00.000Z,"AVDA. DE LOS TOREROS, S/N"
,,8028020,ALBACETE,ALBACETE,ALBACETE,02006,,I,-1.847083,38.984139,1.299,1.249,,,1.309,,,,1.414,,,,CEPSA,P,dm,L-D: 06:00-23:00,L-D: 06:00-23:00,,2019-12-10T00:00:00.000Z,"CALLE ALMANSA, 2"
,,8028021,ALBACETE,ALBACETE,ALBACETE,02006,,D,-1.845083,39.033139,1.299,1.255,,,1.335,,,,1.409,,,,REPSOL,P,dm,L-S: 07:00-21:30; D: 09:00-15:00,L-S: 07:00-21:30; D: 09:00-15:00,,2019-12-10T00:00:00.000Z,CARRETERA N-322 KM. 359
,,8028022,ALBACETE,ALBACETE,ALBACETE,02006,,I,-2.031861,38.925833,1.339,1.249,0.965,,1.319,,,,1.469,,,,REPSOL,P,dm,L-D: 06:30-22:30,L-D: 06:30-22:30,,2019-12-10T00:00:00.000Z,"CR N-322, 337,8"
,,8028023,ALBACETE,ALBACETE,ALBACETE,02006,,I,-1.883694,38.988111,1.299,1.249,,,1.319,,,,1.429,,,,REPSOL,P,dm,L-D: 06:00-23:00,L-D: 06:00-23:00,,2019-12-10T00:00:00.000Z,"CALLE CTRA. DE JAEN, 79"
,,8028024,ALBACETE,ALBACETE,ALBACETE,02006,,D,-1.871722,38.994667,1.309,1.239,,,1.299,,,,1.419,,,,REPSOL,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,CARRETERA JAEN KM. 2
,,8028025,ALBACETE,ALBACETE,ALBACETE,02006,,N,-1.847361,38.988972,1.169,1.099,,,1.129,,,,1.269,,,,FAMILY ENERGY,P,dm,L-S: 07:00-23:00; D: 08:00-23:00,L-S: 07:00-23:00; D: 08:00-23:00,,2019-12-10T00:00:00.000Z,"CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N"
,,8028026,ALBACETE,ALBACETE,ALBACETE,02006,,I,-1.892972,39.027778,1.289,1.249,,,1.329,,,,1.399,,,,REPSOL,P,OM,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CR N-301, 244"
,,8028027,ALBACETE,ALBACETE,ALBACETE,02006,,D,-1.9355,38.965639,,1.169,,,,,,,,,,,P347,P,dm,L-S: 07:00-22:00,L-S: 07:00-22:00,,2019-12-10T00:00:00.000Z,CARRETERA NACIONAL 322 PTO KM 347 KM. 347
,,8028028,ALBACETE,ALBACETE,ALBACETE,02006,,D,-1.874972,39.012583,1.289,1.249,,,1.329,,,,1.399,,,,REPSOL,P,OM,L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00,L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00,,2019-12-10T00:00:00.000Z,"PG CAMPOLLANO-P. 2-CT, S.N."
,,8028029,ALBACETE,ALBACETE,ALBACETE,02006,,N,-1.853306,38.982167,1.259,1.179,,,,,,,,,,,INPEALSA,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2019-12-10T00:00:00.000Z,"AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N"
,,8028030,ALBACETE,ALBACETE,ALBACETE,02006,,N,-1.866806,38.985194,,1.169,,,,,,,,,,,PETROCAMP,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2019-12-10T00:00:00.000Z,"AVENIDA 1º DE MAYO, S/N"
,,8028031,ALBACETE,ALBACETE,ALBACETE,02099,,D,-1.831639,38.929389,1.259,1.169,,,,,,,,,,,INPEALSA,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,CARRETERA NACIONAL 301 KM. 256
,,8028032,ALBACETE,ALBACETE,ALBACETE,02004,,D,-1.919778,38.970167,1.359,1.269,,,1.329,,,,1.479,,,,CEPSA,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,CARRETERA N-322 KM. 349
